CSD,SCHOOL CODE,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
1,M292,Henry Street School for International Studies,22.564285714285713,26.571428571428573,18.5
1,M332,University Neighborhood Middle School,22,23.5,21
1,M378,School for Global Leaders,33,33,33
1,M448,University Neighborhood High School,22.23125,27.0625,18.25
1,M450,East Side Community School,21.2,22.866666666666667,19.4
1,M458,Forsyth Satellite Academy,23,23.4,22.6
1,M509,Marta Valle High School,23.571428571428573,27.357142857142858,20
1,M515,Lower East Side Preparatory High School,22.876470588235293,28.58823529411765,15.764705882352942
1,M539,"New Explorations into Science, Technology and Math High School",25.510526315789473,31.210526315789473,19.473684210526315
1,M650,Cascades High School,21.78125,24.75,18.6875
1,M696,Bard High School Early College,20.975,24.25,17.166666666666668
2,M047,47 The American Sign Language and English Secondary School,16.072727272727274,17.09090909090909,15.090909090909092
2,M104,J.H.S. 104 Simon Baruch,21.25,26.5,15
2,M126,P.S. 126 Jacob August Riis,27.8,30,25
2,M131,M.S. 131,14,14.666666666666666,13.333333333333334
2,M255,M.S. 255 Salk School of Science,31,31,31
2,M288,Food and Finance High School,22.683333333333334,26.166666666666668,19.333333333333332
2,M294,Essex Street Academy,14.9,17.857142857142858,12.285714285714286
2,M296,High School of Hospitality Management,22.964285714285715,27.571428571428573,16.214285714285715
2,M298,Pace High School,21.3125,25.0625,18
2,M300,"Urban Assembly School of Design and Construction, The",22.641666666666666,27.583333333333332,18.166666666666668
2,M303,"Facing History School, The",21.85,26.166666666666668,18.5
2,M305,"Urban Assembly Academy of Government and Law, The",20.8,24,17.625
2,M308,Lower Manhattan Arts Academy,23.25,26,20.75
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",21.92142857142857,24.071428571428573,19.785714285714285
2,M316,"Urban Assembly School of Business for Young Women, the",26.316666666666666,27.75,23.5
2,M374,Gramercy Arts High School,27.207142857142856,30.571428571428573,22.857142857142858
2,M376,NYC iSchool,37.02307692307692,50.69230769230769,25.846153846153847
2,M392,MANHATTAN BUSINESS ACADEMY,25.257142857142856,27,23.428571428571427
2,M393,BUSINESS OF SPORTS SCHOOL,22.12857142857143,26.428571428571427,16.142857142857142
2,M394,EMMA LAZARUS HIGH SCHOOL,24.7,31.7,16.5
2,M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17.854545454545455,24,14.090909090909092
2,M400,High School for Environmental Studies,30.58,34.6,21.8
2,M408,Professional Performing Arts High School,28.95294117647059,31.58823529411765,25.11764705882353
2,M411,Baruch College Campus High School,26.573333333333334,31.533333333333335,19.4
2,M412,N.Y.C. Lab School for Collaborative Studies,32.56666666666667,34.46666666666667,30.466666666666665
2,M414,N.Y.C. Museum School,27.74375,31,23.9375
2,M416,Eleanor Roosevelt High School,27.433333333333334,30.666666666666668,23.555555555555557
2,M418,Millennium High School,29.211764705882352,31.352941176470587,26.41176470588235
2,M419,Landmark High School,23.228571428571428,25.714285714285715,21.214285714285715
2,M420,High School for Health Professions and Human Services,32.1875,34.0625,28.1875
2,M425,Leadership and Public Service High School,27.973333333333333,31.866666666666667,22.666666666666668
2,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,23.02,27,16.6
2,M429,Legacy School for Integrated Studies,19.923076923076923,24.692307692307693,15.615384615384615
2,M432,MURRAY HILL ACADEMY,17.075,21.75,12
2,M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,28,29,27
2,M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24.5,26,23
2,M439,Manhattan Village Academy,21.35625,23.5,19.3125
2,M440,Bayard Rustin Educational Complex,25.925,30.833333333333332,19.75
2,M449,Vanguard High School,19.21666666666667,21.166666666666668,16.666666666666668
2,M459,Manhattan International High School,20.311764705882354,22.470588235294116,17.176470588235293
2,M460,Washington Irving High School,24.17058823529412,31.176470588235293,16.058823529411764
2,M475,Stuyvesant High School,31.11578947368421,33.8421052631579,24.105263157894736
2,M489,High School of Economics and Finance,27.333333333333332,32.22222222222222,20.166666666666668
2,M500,Unity Center for Urban Technologies,25.042857142857144,30.714285714285715,19.285714285714285
2,M519,Talent Unlimited High School,25.85,29.4375,21.0625
2,M520,Murry Bergtraum High School for Business Careers,26.970588235294116,33.35294117647059,16.764705882352942
2,M529,Jacqueline Kennedy Onassis High School,26.05,30.444444444444443,19.833333333333332
2,M531,Repertory Company High School for Theatre Arts,23.9,25.5,21.916666666666668
2,M542,Manhattan Bridges High School,23.475,26.9375,19.1875
2,M543,New Design High School,22.638461538461538,24.692307692307693,20.307692307692307
2,M544,Independence High School,19.45,24.214285714285715,14.285714285714286
2,M545,High School for Dual Language and Asian Studies,21.81764705882353,26.294117647058822,16.58823529411765
2,M550,Liberty High School Academy for Newcomers,18.607692307692307,21.615384615384617,15.153846153846153
2,M551,The Urban Assembly New York Harbor School,24.013333333333332,27.333333333333332,19.733333333333334
2,M575,Manhattan Comprehensive Night and Day High School,22.442857142857143,29.571428571428573,17
2,M580,Richard R. Green High School of Teaching,26.08823529411765,30,21.41176470588235
2,M586,Harvey Milk High School,13.622222222222222,13.777777777777779,13.555555555555555
2,M600,The High School of Fashion Industries,30.608333333333334,32.75,26.916666666666668
2,M605,Humanities Preparatory Academy,23.8,26.285714285714285,20.714285714285715
2,M615,Chelsea Career and Technical Education High School,25.2,28.555555555555557,22.22222222222222
2,M620,Norman Thomas High School,24.2,32.857142857142854,12.428571428571429
2,M625,High School of Graphic Communication Arts,27.326666666666668,36.2,17.533333333333335
2,M630,Art and Design High School,28.8875,33.6875,20.5625
2,M655,Life Sciences Secondary School,23.92105263157895,30.526315789473685,16.68421052631579
3,M054,J.H.S. 054 Booker T. Washington,31.5,32,30
3,M180,P.S. 180 Hugo Newman,26.35,27,26
3,M241,P.S. 241 Family Academy,15.5,18,13
3,M247,M.S. M247 Dual Language Middle School,27.8,30,25
3,M256,M.S. 256 Academic & Athletic Excellence,24,24,24
3,M283,Manhattan Theatre Lab High School,26.527272727272727,32.09090909090909,21.272727272727273
3,M299,"High School for Arts, Imagination and Inquiry",24.1375,28.3125,19.3125
3,M307,"Urban Assembly School for Media Studies, The",19.807692307692307,21.46153846153846,18.53846153846154
3,M334,The Anderson School,32,35,29
3,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,10,10,10
3,M403,THE GLOBAL LEARNING COLLABORATIVE,24.98,30,20
3,M404,INNOVATION DIPLOMA PLUS,17.223076923076924,20.23076923076923,14.461538461538462
3,M415,Wadleigh Secondary School for the Performing & Visual Arts,23.6,28.076923076923077,18.307692307692307
3,M417,FRANK McCOURT HIGH SCHOOL,25,27,24
3,M470,Louis D. Brandeis High School,21.86842105263158,27.210526315789473,15.421052631578947
3,M479,Beacon High School,30.78333333333333,33.666666666666664,26.083333333333332
3,M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,31.306250000000002,34.25,25.125
3,M492,"High School for Law, Advocacy and Community Justice",23.416666666666668,28.77777777777778,18.555555555555557
3,M494,High School of Arts and Technology,28.071428571428573,31.928571428571427,21.857142857142858
3,M505,Edward A. Reynolds West Side High School,21.125,27.25,16.416666666666668
3,M541,Manhattan / Hunter Science High School,21.6,26.428571428571427,16.928571428571427
3,M859,Special Music School,13,13,13
3,M860,Frederick Douglass Academy II Secondary School,21.892857142857142,25.571428571428573,18.142857142857142
4,M050,P.S. 050 Vito Marcantonio,25,25,25
4,M372,ESPERANZA PREPARATORY ACADEMY,25.5,26,25
4,M409,Coalition School for Social Change,21.32,26.2,16.333333333333332
4,M435,Manhattan Center for Science and Mathematics,31.066666666666666,34.111111111111114,24
4,M495,Park East High School,19.04,22.6,15.066666666666666
4,M555,Central Park East High School,25.164285714285715,28.285714285714285,20.714285714285715
4,M610,Young Women's Leadership School,25.711764705882352,27.941176470588236,23
4,M635,Academy of Environmental Science Secondary High School,26.173333333333332,29.266666666666666,23.133333333333333
4,M680,"Heritage School, The",20.692857142857143,25.142857142857142,16.071428571428573
5,M285,Harlem Renaissance High School,17.208333333333332,19.333333333333332,15.583333333333334
5,M286,I.S. M286 Renaissance Military Leadership Academy,24.3,30,18
5,M304,Mott Hall High School,25.64,31,19.866666666666667
5,M362,Columbia Secondary School,25.366666666666664,25.833333333333332,24.5
5,M367,Academy for Social Action: A College Board School,23.43076923076923,26.692307692307693,20
5,M369,Urban Assembly School for the Performing Arts,24.23846153846154,27.384615384615383,21.307692307692307
5,M469,Choir Academy of Harlem,22.55,26.375,18.5625
5,M499,Frederick Douglass Academy,26.68125,31.625,19.6875
5,M670,Thurgood Marshall Academy for Learning and Social Change,22.993333333333332,26.066666666666666,20.333333333333332
5,M685,Bread & Roses Integrated Arts High School,22.813333333333333,27.066666666666666,18
