DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,88.6,22.3,24.9,14,29.1,53.8,1.7,61.4,38.6,422
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,71.8,21.1,21.8,29.2,22.6,45.9,2.3,57.4,42.6,394
01M450,EAST SIDE COMMUNITY HIGH SCHOOL,71.8,5,26.4,9.7,23.9,55.4,10.4,54.7,45.3,598
01M458,SATELLITE ACADEMY HS @ FORSYTHE STREET,72.8,4,8.9,2.2,34.4,59.4,3.6,43.3,56.7,224
01M509,MARTA VALLE SECONDARY SCHOOL,80.7,11.2,25.9,9.3,31.6,56.9,1.6,46.3,53.7,367
01M539,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,23,0.2,2.7,27.8,11.7,14.2,44.9,49.2,50.8,1613
01M650,CASCADES HIGH SCHOOL,69.8,3.2,6.9,0.5,45.4,49.5,4.1,39.9,60.1,218
01M696,BARD HIGH SCHOOL EARLY COLLEGE,18,0.2,0.8,15.1,15.1,18.2,49.8,31.3,68.7,617
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,66.9,8,32.2,1.7,32.2,59.2,6.3,42.5,57.5,174
02M288,FOOD AND FINANCE HIGH SCHOOL,68.4,2.1,18.5,3,44.1,47.6,4.8,45,55,433
02M294,HIGH SCHOOL FOR HISTORY & COMMUNICATION,60.8,3.8,20.4,4.1,27.7,60.6,7.6,53.4,46.6,343
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,72.4,9.5,14.8,5.3,26.5,66.1,2.1,32.2,67.8,419
02M298,PACE HIGH SCHOOL,56.7,2.2,13.8,10.1,32.4,42,3.9,43.7,56.3,414
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,75.3,10.9,20,6,29.2,59.2,4.9,74.9,25.1,431
02M303,THE FACING HISTORY SCHOOL,75.6,20.8,21.7,0.7,23.5,73.2,2.4,50.6,49.4,451
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,68.3,6.1,17,3.8,41.7,50.6,3.5,43.9,56.1,312
