DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,1.2564102564102564,20.408163265306122
01M450,EAST SIDE COMMUNITY HS,19,21,NA,1.105263157894737,NA
01M515,LOWER EASTSIDE PREP,24,26,24,1.0833333333333333,92.3076923076923
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,1.4784313725490197,50.663129973474796
02M296,High School of Hospitality Management,NA,NA,NA,NA,NA
02M298,Pace High School,21,21,NA,1,NA
02M300,"Urban Assembly School of Design and Construction,",99,117,10,1.1818181818181819,8.547008547008547
02M303,"Facing History School, The",42,44,NA,1.0476190476190477,NA
02M305,"Urban Assembly Academy of Government and Law, The",25,37,15,1.48,40.54054054054054
02M308,Lower Manhattan Arts Academy,NA,NA,NA,NA,NA
02M400,HS FOR ENVIRONMENTAL STUDIES,213,298,152,1.3990610328638498,51.006711409395976
02M408,PROFESSIONAL PERFORMING ARTS,20,20,15,1,75
02M411,BARUCH COLLEGE CAMPUS HS,78,115,88,1.4743589743589745,76.52173913043478
02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97,1.2280701754385965,69.28571428571428
02M413,SCHOOL OF THE FUTURE,11,11,NA,1,NA
02M414,NYC MUSEUM SCHOOL,NA,NA,NA,NA,NA
02M416,Eleanor Roosevelt High School,155,235,169,1.5161290322580645,71.91489361702128
02M418,Millennium High School,86,95,67,1.1046511627906976,70.52631578947368
02M420,HEALTH PROF & HUMAN SVCS,204,248,75,1.2156862745098038,30.241935483870968
02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32,1.2,38.095238095238095
02M429,LEGACY SCHOOL,22,26,NA,1.1818181818181819,NA
02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29,1.6428571428571428,42.028985507246375
02M440,HS FOR HUMANITIES,6,6,NA,1,NA
02M459,CES-MANHATTAN INTERNATIONAL,12,12,6,1,50
02M460,WASHINGTON IRVING HS,69,83,21,1.2028985507246377,25.301204819277107
02M475,STUYVESANT HS,1510,2819,2648,1.866887417218543,93.93401915572899
02M489,HS OF ECONOMICS & FINANCE,101,176,78,1.7425742574257426,44.31818181818182
02M519,TALENT UNLIMITED,30,34,21,1.1333333333333333,61.76470588235294
02M520,MURRY BERGTRAUM H.S.,118,157,76,1.3305084745762712,48.40764331210191
02M529,JACQUELINE K. ONASSIS HS,80,118,29,1.475,24.576271186440678
02M542,Manhattan Bridges High School,67,102,59,1.5223880597014925,57.84313725490197
02M545,High School for Dual Language and Asian Studies,61,96,89,1.5737704918032787,92.70833333333334
02M551,HARBOR HIGH SCHOOL,7,7,NA,1,NA
02M575,MANHATTAN COMP.NIGHT H.S.,58,100,61,1.7241379310344827,61
02M580,R.R.GREEN HS OF TEACHING,67,117,40,1.7462686567164178,34.18803418803419
02M600,HS FOR FASHION INDUSTRIES,70,87,26,1.2428571428571429,29.88505747126437
02M615,CHELSEA VHS,52,97,13,1.8653846153846154,13.402061855670103
02M620,NORMAN THOMAS H.S.,34,34,14,1,41.17647058823529
02M625,HS COMMUNICATION GRAPHIC ART,79,85,9,1.0759493670886076,10.588235294117647
02M630,HS OF ART AND DESIGN,84,100,33,1.1904761904761905,33
02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10,1.8,11.11111111111111
03M415,WADLEIGH ARTS HIGH SCHOOL,65,73,NA,1.123076923076923,NA
03M470,LOUIS D. BRANDEIS HS,48,70,6,1.4583333333333333,8.571428571428571
03M479,BEACON SCHOOL,166,197,140,1.1867469879518073,71.06598984771574
03M485,FIORELLO H.LAGUARDIA HS,691,1236,790,1.788712011577424,63.915857605178
03M494,"MLK, JR HS FOR ARTS & TECH",38,38,6,1,15.789473684210526
03M860,FREDERICK DOUGLASS ACADEMY II,11,11,NA,1,NA
04M409,COALITION SCHL FOR SOCIAL CHG,18,18,NA,1,NA
04M435,MANHATTAN CENTER-SCIENCE&MATH,328,426,261,1.298780487804878,61.267605633802816
04M495,PARK EAST H.S.,NA,NA,NA,NA,NA
04M555,CENTRAL PARK EAST H.S.,NA,NA,NA,NA,NA
04M610,THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41,55,29,1.3414634146341464,52.72727272727272
04M610,YOUNG WOMEN'S LEADERSHIP SCH,NA,NA,NA,NA,NA
05M304,Mott Hall High School,11,11,NA,1,NA
05M367,Academy for Social Action: A College Board School,17,17,NA,1,NA
05M469,CHOIR ACADEMY OF HARLEM,6,6,NA,1,NA
05M499,FREDRICK DOUGLAS SEC. SCHOOL,163,226,159,1.3865030674846626,70.35398230088495
05M670,THURGOOD MARSHALL ACADEMY,37,38,NA,1.027027027027027,NA
05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114,124,71,1.087719298245614,57.25806451612904
06M462,H.S. INT'L BUSINESS & FINANCE,108,135,43,1.25,31.851851851851855
06M463,H.S. MEDIA & COMMUNICATIONS,37,64,NA,1.7297297297297298,NA
06M467,H.S. LAW & PUBLIC SERVICE,141,212,82,1.50354609929078,38.67924528301887
06M468,H.S. HEALTH CAREERS & SCIENCE,32,38,17,1.1875,44.73684210526316
06M540,A PHILIP RANDOLPH CAMPUS,165,222,72,1.3454545454545455,32.432432432432435
06M552,GREGORIO LUPERON HS SCI & MATH,88,138,73,1.5681818181818181,52.89855072463768
07X221,South Bronx Preparatory: A College Board School,63,89,24,1.4126984126984128,26.96629213483146
07X500,LINCOLN ACADEMY/ HOSTOS,64,107,39,1.671875,36.44859813084112
07X520,FOREIGN LANG ACAD/GLOBAL STUD,13,13,12,1,92.3076923076923
07X527,Bronx Leadership Academy II High School,30,30,NA,1,NA
07X547,New Explorers High School,18,18,NA,1,NA
07X548,Urban Assembly School for Careers in Sports,NA,NA,NA,NA,NA
