DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,55.1%,14.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,42.7%,16.100000000000001%
01M450,EAST SIDE COMMUNITY SCHOOL,77.8%,5.6%
01M509,MARTA VALLE HIGH SCHOOL,56%,6%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,54.4%,18.100000000000001%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,100%,0%
01M650,CASCADES HIGH SCHOOL,55.1%,6.7%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,96.4%,0.7%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,76%,4%
02M288,FOOD AND FINANCE HIGH SCHOOL,89.2%,2.9%
02M294,ESSEX STREET ACADEMY,71.900000000000006%,10.1%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,77.3%,6.7%
02M298,PACE HIGH SCHOOL,84.8%,4.3%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,61.3%,8.800000000000001%
02M303,FACING HISTORY SCHOOL  THE,47.9%,19.7%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,75.400000000000006%,16.399999999999999%
02M308,LOWER MANHATTAN ARTS ACADEMY,67.599999999999994%,8.800000000000001%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,51.9%,15.2%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,73.599999999999994%,5.6%
02M374,GRAMERCY ARTS HIGH SCHOOL,73.099999999999994%,7.5%
02M394,EMMA LAZARUS HIGH SCHOOL,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,74.400000000000006%,6.3%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,76.400000000000006%,3.6%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,92.5%,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,98.1%,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,91.1%,1.6%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,64.2%,2.1%
02M414,N.Y.C. MUSEUM SCHOOL,94.3%,1.9%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,100%,0%
