DBN,school_name,Location 1
17K548,Brooklyn School for Music & Theatre,"883 Classon Avenue
Brooklyn, NY 11225
(40.67029890700047, -73.96164787599963)"
09X543,High School for Violin and Dance,"1110 Boston Road
Bronx, NY 10456
(40.8276026690005, -73.90447525699966)"
09X327,Comprehensive Model School Project M.S. 327,"1501 Jerome Avenue
Bronx, NY 10452
(40.842414068000494, -73.91616158599965)"
02M280,Manhattan Early College School for Advertising,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
28Q680,Queens Gateway to Health Sciences Secondary School,"160-20 Goethals Avenue
Jamaica, NY 11432
(40.718810094000446, -73.80650045499965)"
08X348,Schuylerville Preparatory High School,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
14K474,PROGRESS High School for Professional Careers,"850 Grand Street
Brooklyn, NY 11211
(40.71196311300048, -73.94043436699963)"
02M420,High School for Health Professions and Human Services,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)"
28Q350,Jamaica Gateway to the Sciences,"167-01 Gothic Drive
Jamaica, NY 11432
(40.713577459000476, -73.79651782499963)"
29Q313,Benjamin Franklin High School for Finance & Information Technology,"207-01 116th Avenue
Cambria Heights, NY 11411
(40.6978073300005, -73.74585775499963)"
12X271,East Bronx Academy for the Future,"1716 Southern Boulevard
Bronx, NY 10460
(40.83695342600049, -73.88796175799968)"
02M520,Murry Bergtraum High School for Business Careers,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
06M211,Inwood Early College for Health and Information Technologies,"650 Academy Street
New York, NY 10002
(40.86604554900049, -73.92485664199967)"
24Q600,Queens Vocational and Technical High School,"37-02 47 Avenue
Long Island City, NY 11101
(40.74218869400045, -73.92824329199965)"
10X368,In-Tech Academy (M.S. / High School 368),"2975 Tibbett Avenue
Bronx, NY 10463
(40.88005009300048, -73.90920904799964)"
06M348,Washington Heights Expeditionary Learning School,"511 West 182Nd Street
New York, NY 10033
(40.84887878800049, -73.93080651699967)"
18K629,Cultural Academy for the Arts and Sciences,"5800 Tilden Avenue
Brooklyn, NY 11203
(40.64866366300049, -73.92189876199967)"
03M299,"High School for Arts, Imagination and Inquiry","122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
07X520,Foreign Language Academy of Global Studies,"470 Jackson Avenue
Bronx, NY 10455
(40.81113885600047, -73.90978712699967)"
08X312,Millennium Art Academy,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
08X293,Renaissance High School for Musical Theater & Technology,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts","49 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.69717472700046, -73.98495968899965)"
31R460,Susan E. Wagner High School,"1200 Manor Road
Staten Island, NY 10314
(40.59865238600048, -74.12310475899966)"
28Q328,High School for Community Leadership,"167-01 Gothic Drive
Jamaica, NY 11432
(40.713577459000476, -73.79651782499963)"
05M362,Columbia Secondary School,"425 West 123 Street
New York, NY 10027
(40.81091785300049, -73.95692738699967)"
10X243,West Bronx Academy for the Future,"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
03M307,"Urban Assembly School for Media Studies, The","122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
20K609,Urban Assembly School for Criminal Justice,"4200 16 Avenue
Brooklyn, NY 11204
(40.63490809500047, -73.98151907699963)"
28Q284,York Early College Academy,"108-35 167 Street
Jamaica, NY 11433
(40.69693735800047, -73.78698154099965)"
21K348,High School of Sports Management,"2630 Benson Avenue
Brooklyn, NY 11214
(40.59359381100046, -73.98472923199967)"
15K463,Secondary School for Journalism,"237 7 Avenue
Brooklyn, NY 11215
(40.66959817500049, -73.97925552199968)"
31R605,Staten Island Technical High School,"485 Clawson Street
Staten Island, NY 10306
(40.567913003000456, -74.11536224299965)"
17K543,"Science, Technology and Research Early College High School at Erasmus","911 Flatbush Avenue
Brooklyn, NY 11226
(40.64943967500045, -73.95843119799963)"
02M393,BUSINESS OF SPORTS SCHOOL,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
21K690,Brooklyn Studio Secondary School,"8310 21St Avenue
Brooklyn, NY 11214
(40.6048770000005, -73.99441715399968)"
01M539,"New Explorations into Science, Technology and Math High School","111 Columbia Street
New York, NY 10002
(40.718725451000466, -73.97942638599966)"
12X388,Pan American International High School at Monroe,"1300 Boynton Avenue
Bronx, NY 10472
(40.83136649000045, -73.87882327699964)"
07X522,Bronx Design and Construction Academy,"333 East 151 Street
Bronx, NY 10451
(40.81824688900048, -73.91973567799965)"
22K535,Leon M. Goldstein High School for the Sciences,"1830 Shore Boulevard
Brooklyn, NY 11235
(40.5808471360005, -73.93608856899965)"
10X284,Bronx School of Law and Finance,"99 Terrace View Avenue
Bronx, NY 10463
(40.87704944300049, -73.91233659899967)"
04M680,"Heritage School, The","1680 Lexington Avenue
New York, NY 10029
(40.79187961800045, -73.94658639999966)"
17K382,Academy for College Preparation and Career Exploration: A College Board School,"911 Flatbush Avenue
Brooklyn, NY 11226
(40.64943967500045, -73.95843119799963)"
09X403,Bronx International High School,"1110 Boston Road
Bronx, NY 10456
(40.8276026690005, -73.90447525699966)"
08X559,School for Tourism and Hospitality,"900 Tinton Avenue
Bronx, NY 10456
(40.82188734100049, -73.90343805499964)"
02M294,Essex Street Academy,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
03M415,Wadleigh Secondary School for the Performing & Visual Arts,"215 West 114 Street
New York, NY 10026
(40.802174581000486, -73.95400882799964)"
14K478,"The High School for Enterprise, Business and Technology","850 Grand Street
Brooklyn, NY 11211
(40.71196311300048, -73.94043436699963)"
18K642,Urban Action Academy,"1600 Rockaway Parkway
Brooklyn, NY 11236
(40.641844268000455, -73.89868729099965)"
30Q445,William Cullen Bryant High School,"48-10 31 Avenue
Astoria, NY 11103
(40.75812467500049, -73.91033330899967)"
10X433,High School for Teaching and the Professions,"2780 Reservoir Avenue
Bronx, NY 10468
(40.87037746700048, -73.89816295199967)"
19K510,World Academy for Total Community Health High School,"400 Pennsylvania Avenue
Brooklyn, NY 11207
(40.66755311100047, -73.89480053699964)"
22K555,Brooklyn College Academy,"350 Coney Island Avenue
Brooklyn, NY 11218
(40.64920062700048, -73.97169462099964)"
07X547,New Explorers High School,"730 Concourse Village West
Bronx, NY 10451
(40.82277649000048, -73.92352279399967)"
