SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
Henry Street School for International Studies,22.564285714285713,26.571428571428573,18.5,01M292
University Neighborhood Middle School,22,23.5,21,01M332
School for Global Leaders,33,33,33,01M378
University Neighborhood High School,22.23125,27.0625,18.25,01M448
East Side Community School,21.2,22.866666666666667,19.4,01M450
Forsyth Satellite Academy,23,23.4,22.6,01M458
Marta Valle High School,23.571428571428573,27.357142857142858,20,01M509
Lower East Side Preparatory High School,22.876470588235293,28.58823529411765,15.764705882352942,01M515
"New Explorations into Science, Technology and Math High School",25.510526315789473,31.210526315789473,19.473684210526315,01M539
Cascades High School,21.78125,24.75,18.6875,01M650
Bard High School Early College,20.975,24.25,17.166666666666668,01M696
47 The American Sign Language and English Secondary School,16.072727272727274,17.09090909090909,15.090909090909092,02M047
J.H.S. 104 Simon Baruch,21.25,26.5,15,02M104
P.S. 126 Jacob August Riis,27.8,30,25,02M126
M.S. 131,14,14.666666666666666,13.333333333333334,02M131
M.S. 255 Salk School of Science,31,31,31,02M255
Food and Finance High School,22.683333333333334,26.166666666666668,19.333333333333332,02M288
Essex Street Academy,14.9,17.857142857142858,12.285714285714286,02M294
High School of Hospitality Management,22.964285714285715,27.571428571428573,16.214285714285715,02M296
Pace High School,21.3125,25.0625,18,02M298
"Urban Assembly School of Design and Construction, The",22.641666666666666,27.583333333333332,18.166666666666668,02M300
"Facing History School, The",21.85,26.166666666666668,18.5,02M303
"Urban Assembly Academy of Government and Law, The",20.8,24,17.625,02M305
Lower Manhattan Arts Academy,23.25,26,20.75,02M308
"James Baldwin School, The: A School for Expeditionary Learning",21.92142857142857,24.071428571428573,19.785714285714285,02M313
"Urban Assembly School of Business for Young Women, the",26.316666666666666,27.75,23.5,02M316
Gramercy Arts High School,27.207142857142856,30.571428571428573,22.857142857142858,02M374
NYC iSchool,37.02307692307692,50.69230769230769,25.846153846153847,02M376
MANHATTAN BUSINESS ACADEMY,25.257142857142856,27,23.428571428571427,02M392
BUSINESS OF SPORTS SCHOOL,22.12857142857143,26.428571428571427,16.142857142857142,02M393
EMMA LAZARUS HIGH SCHOOL,24.7,31.7,16.5,02M394
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17.854545454545455,24,14.090909090909092,02M399
High School for Environmental Studies,30.58,34.6,21.8,02M400
Professional Performing Arts High School,28.95294117647059,31.58823529411765,25.11764705882353,02M408
Baruch College Campus High School,26.573333333333334,31.533333333333335,19.4,02M411
N.Y.C. Lab School for Collaborative Studies,32.56666666666667,34.46666666666667,30.466666666666665,02M412
N.Y.C. Museum School,27.74375,31,23.9375,02M414
Eleanor Roosevelt High School,27.433333333333334,30.666666666666668,23.555555555555557,02M416
Millennium High School,29.211764705882352,31.352941176470587,26.41176470588235,02M418
