job_id,job_title,job_type,location,sector,salary_min,salary_max,payment_period
1,Accountant job in Dallas,Full Time Employee,"Dallas, TX 75201",Accounting/Finance/Insurance,50000,60000,year
2,APQP Quality Engineering Manager Job in Marlborough,"Full Time , Employee","Marlborough, MA",NA,90000,120000,year
3,Business Intelligence Analyst Job in Cincinnati,Full Time Employee,"Cincinnati, OH 45242",IT/Software Development,80000,90000,year
4,Business Systems Analyst Job in Philadelphia,Full Time,"Philadelphia, PA 19106",Experienced (Non-Manager),50000,60000,year
5,Computer Operator Job in Cleveland,"Full Time, Temporary/Contract/Project","Cleveland, OH 44131",Experienced (Non-Manager),23,23,hour
6,Computer Systems Analyst Job in Dallas,"Full Time, Employee","Dallas, TX",IT/Software Development,0,38000,year
7,Contract Benefits Associate Job in Chicago,Full Time Temporary/Contract/Project,"Chicago, IL 60602",Human Resources,26,26,hour
8,Data Analyst - Excel,Full Time Temporary/Contract/Project,"Irving, TX",IT/Software Development,20,25,hour
9,Data Analyst (Intelligence Analyst) at USPIS Job in New York,Full Time Employee,"New York, NY 10007",Security/Protective Services,26.92,26.92,hour
10,Data Analyst Job in Charlottesville,Full Time,"Charlottesville, VA 22901",Entry Level,0,42500,year
11,Data Analyst Job in Dallas,"Full Time , Employee","Dallas, TX 75201",Experienced (Non-Manager),90000,95000,year
12,Data Analyst Job in Fort Wayne,Full Time,"Fort Wayne, IN 46825",Entry Level,38000,46000,year
13,Database/Applications Administrator Job in Clearwater,Full Time,"Clearwater, FL 33760",Experienced (Non-Manager),51708.8,81475.47,year
14,Developer III Job in Leawood,Temporary/Contract/Project,"Leawood, KS 66211",Experienced (Non-Manager),0,55,hour
15,Digital Product Manager - Data Analytics Job in Dallas,Full Time Employee,"Dallas, TX 75235",Marketing/Product,95000,105000,year
16,Documentation Control Specialist - BOM/Labeling Changes/Purchasing Orders Job in Somerville,Full Time Temporary/Contract/Project,"Somerville, NJ 08876",NA,22,32,hour
17,Enrollment Data Analyst Job in Irving,Full Time Employee,"Irving, TX 75039",NA,22.66,22.66,hour
18,Environmental,Full Time Temporary/Contract/Project,"Environmental, Health and Safety Technician",Quality Assurance/Safety,1,1,hour
19,Environmental,Full Time Temporary/Contract/Project,"Environmental, Health and Safety Technician",Quality Assurance/Safety,1,1,hour
20,Epidemiologist - EDC Job in Portsmouth,"Full Time, Employee","Portsmouth, VA 23708",Biotech/R&D/Science,55000,60000,year
21,Epidemiologist - Health Analysis Job in Portsmouth,"Full Time, Employee","Portsmouth, VA 23708",Biotech/R&D/Science,70000,75000,year
22,Finance Manager Job in Northridge,Full Time Employee,"Northridge, CA 91325",Accounting/Finance/Insurance,110000,120000,year
23,Finance Manager- Real Estate Job in Dallas,Full Time,"Dallas, TX",Experienced (Non-Manager),0,100000,year
24,Financial Model Validation Job in Dallas,"Full Time, Employee","Dallas, TX",Accounting/Finance/Insurance,100000,130000,year
25,Fraud Product Manager Job in San Francisco,Full Time Employee,"San Francisco, CA 94107",Accounting/Finance/Insurance,107000,135000,year
26,HRIS Workday Professional Job in Dallas,Full Time,"Dallas, TX 75204",Experienced (Non-Manager),0,100000,year
27,Intelligence Analyst / Records Examiner Analyst at DEA Job in Cedar Rapids,Full Time Employee,"Cedar Rapids, IA 52404",Security/Protective Services,19.5,19.5,hour
28,Junior Accountant Job - Pleasanton,Full Time Temporary/Contract/Project,"Pleasanton, CA 94588",Accounting/Finance/Insurance,18,22,hour
29,Junior Analyst/Assistant Project Manager Job in Crafton,Full Time,"Crafton, PA 15205",Entry Level,35000,40000,year
30,Lab Manager - Textile/Lab Supervisor/Test Job in Atlanta,Full Time Employee,"Atlanta, GA 30328",NA,80000,100000,year
31,Lead Data Analyst Job in Dallas,"Full Time, Temporary/Contract/Project","Dallas, TX 75226",Manager (Manager/Supervisor of Staff),16,16,hour
32,Lead Database Administrator Job in Cincinnati,Full Time Employee,"Cincinnati, OH",Database Development/Administration,40,60,hour
33,Master Black Belt Job in Boston,"Full Time, Temporary/Contract/Project",Boston   MA,NA,80,100,hour
34,Material Control Specialist Job in Greer,Full Time,"Greer, SC 29651",Experienced (Non-Manager),20,31,hour
