,review_id,user_id,business_id,stars,useful,funny,cool,text,date
6155264,ZJkrac0c9jNmQm8kL0jG7Q,D7iTphxo--cHFp9PHDhIGw,8ieaL8k18G4B9cFNvOZjTg,5.0,7,5,5,"Totally love this place. While growing up in Dallas we would always go to a local produce joint that a family friend owned. The tomatoes were always fresh, local, and packed with flavor. A scattering of local and/or organic food items plus plants for your own garden. Now I have found my Nashville version of Gene's Fruit Stand. 

Produce Place is small but you can tell that all items are chosen very selectively. Local fruits and veggies are great but my favorite items are the fair trade coffee and granola wall. The local cheeses and organic snacks are pretty awesome too! 

Disadvantages... I hate to include these, parking is a bear plus prices are more than Publix (but worth it). Biggest frustration is when I realize about 6:45 while making dinner that I forgot a veggie and then remembering they closed at 6:30. Either way, get your veggies here. SOOOO Good!",2014-06-10 18:19:33
3030548,umpnCg3jdvI9LZePr23InQ,lPAt2419-7bc3KeMgbqsZA,aRyP578y47vwJ4KFIicjCw,4.0,0,1,0,"Their lunch bento is usually a great deal, as it comes with sushi, shumai, soup, salad, and the entree with rice. I went with the chicken teriyaki bento today and it was good, but the chicken itself was underwhelming. The chicken looked a little pale, with the sauce just sitting under the chicken. The pad thai was also good, albeit a little bland. Overall, a decent lunch.",2017-03-12 00:37:32
6553207,Tz2POH9WBKL7Yo7myDAfDQ,GWoMLIxwGUJMCfKUAXq5Rw,EfqMKBHZ3f1Fetrf9KjY3g,5.0,2,0,0,On a road trip across the country and had to stop in TN for BBQ. This place was nearby with high yelp ratings so I stopped in to give it a try. The place was pretty packed so I thought it seemed promising.  It was AMAZING. All their smoked meats are smoked in house. I had the smoked pulled pork which was to die for. For sides I had potato salad (yum!) and fresh fruit (basic). They also give you cheese muffins to start which are very good. Bartender was very friendly. Def a great place to stop!,2011-08-16 03:28:05
4630933,N2r9ogi_mlvvjdzJq18Jrw,Dbc7lCb4BboTqJ5XFzUaGg,1Vo4BLw75ntATAJHYsxO3g,1.0,0,0,0,"Came here for my Birthday dinner and was kind of iffy about it because of the mix reviews.  We decided to try it out  ourselves.  We got the outdoor sitting which was great and love the water view.  Ordered our appetizers and dinners plus our alcohols.  Our waiter took 15 - 20 mins to bring our alcohols and still waiting on our appetizers to come.  35 mins later our waiter bring us our appetizers along with our entrees.  Which was very disappointing may I add because we expected our appetizers first while waiting for our entrees.  Our dinner food was a disaster because it wasn't hot nor warm.. COLD!  Not once did our waiter come by our table to check on us to see IF we wanted anything else like more refill on the soda or more alcohol.  My Birthday dinner was very disappointing and was not happy.  We will definitely NOT come back.  
The $5 valet parking was no issue for us and we still manage to tip and tip our waiter too even though he didn't do his job right.",2019-06-24 23:37:48
3254822,u8AIBXapoxf4_SLg9qRDLQ,anTUGuGb-4yy_Dck_KZlXw,2TW0TCqrRxyolGb3S_uTiA,4.0,0,0,0,"Better than most diners. Looks like it was recently renovated so it looks bright and cute, but I thought it was pretty chilly in there! I had a Belgian waffle with eggs and bacon, my boyfriend had pancakes. My waffle felt a little overdone since it was crispy and dark brown. Waffles should be on the softer side with a golden brown color and no crispiness to it, but that's how I like my waffles. Service was friendly.",2019-07-14 22:57:43
4201525,kxeoi_iiYFhcr6akXYy7qw,BQlmU6pvyOia6xhZTJ5J8A,105DEtnKnD78q-GLEzLMDg,5.0,2,0,0,"Strategic resume's is a top notch professional company. I had them do a resume' for me and the finished product was much better than I anticipated. I also had some custom work done, a lengthy proposal, a brochure and detailed cover letter for several different employers. I will continue to use strategic for years to come. Thanks",2015-09-09 22:47:36
2714883,VcRqAj_LEg1-1p68z8jzFg,cUGLCnc8G1KJlczh34v05w,Q6UGtl17sUJVk9i5ey3ioA,1.0,0,0,0,"My first time here, was cat called by the bar tender twice. Made me very uncomfortable. I will not be back for this reason. I'm disappointed for this bc the food was good): lost a potential customer. Do better.",2021-11-22 00:22:06
4522803,fy6kVKLzOyMbBuaWYY0sxg,Cinc6eGXZCog4sfG7maWDg,HANUMhsKdPgxguzxv0D-cw,5.0,2,0,1,"Hands down- this is my favorite bar in downtown St. Petersburg. 

Mandarin makes great cocktails, is reasonable priced, has an awesome decor - and always makes me feel welcomed.  Thursday night is my favorite night to stop by the bar- it is $5 mule night and they have a variety of ginger beer based drinks at least one of which is sure to be perfect for you.  My favorite is the Mezcali Mule- which is mescal blended with ginger beer in a fantastic spicy, smokey combo that is sure to hit the spot.  But if that isn't your style- try the classic Moscow Mule or Dark & Stormy and enjoy being in a nice bar having a good drink. 

Any night of the week you can stop by and have a great cocktail. All of the bartenders are professional and I have never received a bad drink. 

I love the Mandarin Hide... but, so do lots of other people.  On weekends the bar can be crazy crowded and overwhelm you with people.  The bar staff- making their meticulously awesome drinks- are not fast, and with large crowds it is easy to be frustrated at this bar.  It is narrow on the inside without a lot of seating.  As much as I love this bar I usually avoid it as it gets later and more crowded on Friday and Saturday nights. 

Additional notes: 

*There is often a live blue grass band in the bar- which is an awesome touch.
*During the holidays they fill the bar with the biggest Christmas tree you will find downtown.  
*They have an excellent selection of craft bourbons- want to try pappy? This is a place you can do it. 

You can't go wrong with a classy cocktail bar that knows what it is doing.  Stop in and find out for yourself.",2016-02-06 01:16:34
2195137,BnHGQo-FoMLu8yNvoRnFSQ,lMY8NBPyzlPbbu-KBYfD9A,xnLNmJvOwbdef6T1EEClGw,4.0,21,10,23,"Went in for a good 'ol bowl of oatmeal but I don't do breakfast bar buffet style oats so I grabbed a table and decided on a pancake - à la carte.

They came as a three stack but I only wanted 1 blueberry, no butter, no syrup and the chef was gracious enough to oblige. Pancake was superb!  Nice and fluffy and tasty and moist and succulent and ok...you get the gist.

Service was super pleasant.

Restaurant was just as chic and comfortable as the rest of the hotel.

I'll be back for dinner and wine.

Stay posted people.",2015-08-19 17:12:52
3539825,BbXsKBtmZ1bVvbDDvlc6-g,qH-A96MJjKRS53chKHcGLg,uJDo0U-gDAcsljMmIovlCA,5.0,1,0,0,"I drove from Damonte Ranch to have my first spray tan done today... It was well worth the drive.  I loved it. The Sparks location is awesome.. The gal that helped me answered all my questions, settled my nerves, and was truly geniune and friendly.   Even though there is a location south Reno I will continue to go to the Sparks location because of the wonderful experience.  Thank you!",2016-06-12 22:41:09
